M0110A_CHAR,M0110A_SCANCODE,M0110_CHAR,M0110_SCANCODE,M0110_INTL_CHAR,M0110_INTL_SCANCODE,LISA_SCANCODE,LISA_SCANCODE
0,0x1D,0,0x1D,0,0x1D,0,0x51
1,0x12,1,0x12,1,0x12,1,0x74
2,0x13,2,0x13,2,0x13,2,0x71
3,0x14,3,0x14,3,0x14,3,0x72
4,0x15,4,0x15,4,0x15,4,0x73
5,0x17,5,0x17,5,0x17,5,0x64
6,0x16,6,0x16,6,0x16,6,0x61
7,0x1A,7,0x1A,7,0x1A,7,0x62
8,0x1C,8,0x1C,8,0x1C,8,0x63
9,0x19,9,0x19,9,0x19,9,0x50
A,0x00,A,0x00,A,0x00,A,0x70
B,0x0B,B,0x0B,B,0x2D,B,0x6E
C,0x08,C,0x08,C,0x09,C,0x6D
D,0x02,D,0x02,D,0x02,D,0x7B
E,0x0E,E,0x0E,E,0x0E,E,0x60
F,0x03,F,0x03,F,0x03,F,0x69
G,0x05,G,0x05,G,0x05,G,0x6A
H,0x04,H,0x04,H,0x04,H,0x6B
I,0x22,I,0x22,I,0x22,I,0x53
J,0x26,J,0x26,J,0x26,J,0x54
K,0x28,K,0x28,K,0x28,K,0x55
L,0x25,L,0x25,L,0x25,L,0x59
M,0x2E,M,0x2E,M,0x2B,M,0x58
N,0x2D,N,0x2D,N,0x2E,N,0x6F
O,0x1F,O,0x1F,O,0x1F,O,0x5F
P,0x23,P,0x23,P,0x23,P,0x44
Q,0x0C,Q,0x0C,Q,0x0C,Q,0x75
R,0x0F,R,0x0F,R,0x0F,R,0x65
S,0x01,S,0x01,S,0x01,S,0x76
T,0x10,T,0x10,T,0x10,T,0x66
U,0x20,U,0x20,U,0x20,U,0x52
V,0x09,V,0x09,V,0x0B,V,0x6C
W,0x0D,W,0x0D,W,0x0D,W,0x77
X,0x07,X,0x07,X,0x08,X,0x7A
Y,0x11,Y,0x11,Y,0x11,Y,0x67
Z,0x06,Z,0x06,Z,0x07,Z,0x79
TILDE,0x32,TILDE,0x32,TILDE,0x24,TILDE,0x68
MINUS,0x1B,MINUS,0x1B,MINUS,0x1B,MINUS,0x40
EQUAL,0x18,EQUAL,0x18,EQUAL,0x18,EQUAL,0x41
BACKSPACE,0x33,BACKSPACE,0x33,BACKSPACE,0x33,BACKSPACE,0x45
TAB,0x30,TAB,0x30,TAB,0x30,TAB,0x78
OPEN_BRACKET,0x21,OPEN_BRACKET,0x21,OPEN_BRACKET,0x21,OPEN_BRACKET,0x56
CLOSE_BRACKET,0x1E,CLOSE_BRACKET,0x1E,CLOSE_BRACKET,0x1E,CLOSE_BRACKET,0x57
CAPSLOCK,0x39,CAPSLOCK,0x39,CAPSLOCK,0x39,CAPSLOCK,0x7D
SEMICOLON,0x29,SEMICOLON,0x29,SEMICOLON,0x29,SEMICOLON,0x5A
QUOTE,0x27,QUOTE,0x27,QUOTE,0x27,QUOTE,0x5B
RETURN,0x24,RETURN,0x24,RETURN,0x2A,RETURN,0x48
SHIFT,0x38,SHIFT,0x38,SHIFT,0x38,SHIFT,0x7E
COMMA,0x2B,COMMA,0x2B,COMMA,0x2F,COMMA,0x5D
PERIOD,0x2F,PERIOD,0x2F,PERIOD,0x2C,PERIOD,0x5E
SLASH,0x2C,SLASH,0x2C,SLASH,0x0A,SLASH,0x4C
OPTION,0x3A,OPTION,0x3A,OPTION,0x3A,OPTION,0x7C
COMMAND,0x37,COMMAND,0x37,COMMAND,0x37,COMMAND,0x7F
SPACE,0x31,SPACE,0x31,SPACE,0x34,SPACE,0x5C
BACKSLASH,0x2A,BACKSLASH,0x2A,BACKSLASH,0x06,BACKSLASH,0x42
N/A,N/A,ENTER,0x34,ENTER,0x31,ENTER,0x46
NUM_0,0x52,NUM_0,0x52,NUM_0,0x52,NUM_0,0x49
NUM_1,0x53,NUM_1,0x53,NUM_1,0x53,NUM_1,0x4D
NUM_2,0x54,NUM_2,0x54,NUM_2,0x54,NUM_2,0x2D
NUM_3,0x55,NUM_3,0x55,NUM_3,0x55,NUM_3,0x2E
NUM_4,0x56,NUM_4,0x56,NUM_4,0x56,NUM_4,0x28
NUM_5,0x57,NUM_5,0x57,NUM_5,0x57,NUM_5,0x29
NUM_6,0x58,NUM_6,0x58,NUM_6,0x58,NUM_6,0x2A
NUM_7,0x59,NUM_7,0x59,NUM_7,0x59,NUM_7,0x24
NUM_8,0x5B,NUM_8,0x5B,NUM_8,0x5B,NUM_8,0x25
NUM_9,0x5C,NUM_9,0x5C,NUM_9,0x5C,NUM_9,0x26
NUM_CLEAR,0x47,NUM_CLEAR,0x47,NUM_CLEAR,0x47,NUM_CLEAR,0x20
NUM_PLUS,0x66,NUM_COMMA,0x48,NUM_COMMA,0x48,NUM_COMMA,0x2B
NUM_ENTER,0x4C,NUM_ENTER,0x4C,NUM_ENTER,0x4C,NUM_ENTER,0x2F
NUM_EQUAL,0x68,NUM_MINUS,0x4E,NUM_MINUS,0x4E,NUM_MINUS,0x21
NUM_MULTIPLY,0x62,NUM_MULTIPLY,0x42,NUM_MULTIPLY,0x42,NUM_MULTIPLY,0x23
NUM_PERIOD,0x41,NUM_PERIOD,0x41,NUM_PERIOD,0x41,NUM_PERIOD,0x2C
NUM_SLASH,0x6D,NUM_PLUS,0x46,NUM_PLUS,0x46,NUM_PLUS,0x22
NUM_MINUS,0x4E,NUM_SLASH,0x4D,NUM_SLASH,0x4D,NUM_SLASH,0x27
N/A,N/A,N/A,N/A,SECTION,0x32,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,LESS_GREATER,0x43
ARROW_UP,0x4D,N/A,N/A,N/A,N/A,N/A,N/A
ARROW_LEFT,0x46,N/A,N/A,N/A,N/A,N/A,N/A
ARROW_RIGHT,0x42,N/A,N/A,N/A,N/A,N/A,N/A
ARROW_DOWN,0x48,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,